number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
96,depuis,none,"adv,prep","since, for",* je le connais depuis le lycée -- I have known him since high school,je le connais depuis le lycée,6,I have known him since high school,83,16243,83 | 16243
97,point,none,"adv,nm",point; at all,* je suis d'accord avec ce point de vue -- I'm in agreement with that point of view,je suis d'accord avec ce point de vue,8,I'm in agreement with that point of view,85,13938,85 | 13938
98,ainsi,none,adv,thus,* qu'est-ce qui le pousse à agir ainsi? -- what drives him to act that way?,qu'est-ce qui le pousse à agir ainsi?,7,what drives him to act that way?,86,12358,86 | 12358
99,heure,Creating nouns – 1,nf,hour,* a quelle heure sont-ils partis? -- at what time did they leave?,a quelle heure sont-ils partis?,5,at what time did they leave?,85,13215,85 | 13215
100,rester,none,v,to stay,"* le temps qu'il te reste, trouve une solution -- in the remaining time, find a solution","le temps qu'il te reste, trouve une solution",8,"in the remaining time, find a solution",86,11942,86 | 11942
101,seul,Emotions,adj,"alone, only",* parler tout seul était signe d'aliénation -- talking to oneself was a sign of loneliness,parler tout seul était signe d'aliénation,6,talking to oneself was a sign of loneliness,84,13542,84 | 13542
102,année,Time,nf,year,* il devait se présenter l'année suivante -- he had to show up the next year,il devait se présenter l'année suivante,6,he had to show up the next year,81,16316,81 | 16316
103,toujours,none,adv,always,* tu es toujours en retard -- you're always late,tu es toujours en retard,5,you're always late,81,15106,81 | 15106
104,tenir,none,v,to hold,* c'est une porte de sécurité. tiens ça -- it's a security door. hold this,c'est une porte de sécurité. tiens ça,7,it's a security door. hold this,85,12229,85 | 12229
105,porter,none,"nm,v","to wear, carry",* il a porté le maillot jaune un jour -- he wore the yellow jersey one day,il a porté le maillot jaune un jour,8,he wore the yellow jersey one day,89,8044,89 | 8044
106,parler,Verbs of communication,"nm,v",to speak,* je sais de quoi je parle -- I know what I'm talking about,je sais de quoi je parle,6,I know what I'm talking about,77,18598-n,77 | 18598-n
107,fort,Emotions,"adv,adj,nm",strong,* c'est une femme forte -- she is a strong woman,c'est une femme forte,4,she is a strong woman,90,6811,90 | 6811
108,montrer,none,v,to show,* c'est une étrange façon de montrer votre reconnaissance -- that's a strange way to show your gratitude,c'est une étrange façon de montrer votre reconnaissance,8,that's a strange way to show your gratitude,92,5634,92 | 5634
109,là,none,"adv,intj","there, here",* je n'étais pas passé par là -- I hadn't passed by there,je n'étais pas passé par là,6,I hadn't passed by there,73,21735-n,73 | 21735-n
110,certain,Emotions,"adj,det,nm,pro","certain, sure",* certains ont affirmé que le gouvernement était trop faible -- some contend that the government was too weak,certains ont affirmé que le gouvernement était trop faible,9,some contend that the government was too weak,79,16317,79 | 16317
111,fin,none,"adj,adv,nf,nm",end; gist; clever person,* la fin est importante en toutes choses -- the ending is important in everything,la fin est importante en toutes choses,7,the ending is important in everything,85,10595,85 | 10595
112,tu,none,pro,you,"* a ma place, tu ne le ferais pas -- in my position, you would not do it","a ma place, tu ne le ferais pas",8,"in my position, you would not do it",54,42483-n +s,54 | 42483-n +s
113,continuer,none,v,to continue,* tu continues de m'impressionner -- you continue to impress me,tu continues de m'impressionner,4,you continue to impress me,91,6377,91 | 6377
114,pays,none,nm(pl),country,* ils vivent dans ce beau pays -- they live in this beautiful country,ils vivent dans ce beau pays,6,they live in this beautiful country,74,19496,74 | 19496
115,trois,none,"det,nmi",three,* les trois chasseurs étaient en pleine lumière -- the three hunters were directly in the light,les trois chasseurs étaient en pleine lumière,7,the three hunters were directly in the light,83,12562,83 | 12562
116,penser,none,"nm,v",to think,* je pense que vous le connaissez bien -- I think you know him very well,je pense que vous le connaissez bien,7,I think you know him very well,78,16338-n,78 | 16338-n
117,lieu,none,nm,place,* je suis né dans un lieu public -- I was born in a public place,je suis né dans un lieu public,7,I was born in a public place,89,7344,89 | 7344
118,partie,none,nf,part,* il garde la majeure partie de cet argent -- he's keeping most of that money,il garde la majeure partie de cet argent,8,he's keeping most of that money,85,10177,85 | 10177
119,quand,none,"adv,conj",when,* tu aurais dû me tuer quand tu en as eu l'occasion -- you should have killed me when you had the chance,tu aurais dû me tuer quand tu en as eu l'occasion,11,you should have killed me when you had the chance,75,18704,75 | 18704
120,suivre,Verbs of movement,v,to follow,"* les autres, suivez-moi! -- everybody else, follow me!","les autres, suivez-moi!",3,"everybody else, follow me!",89,7251,89 | 7251
121,contre,none,"adv,nm,prep",against,"* je vois, tu es en colère contre moi -- I see you're angry with me","je vois, tu es en colère contre moi",8,I see you're angry with me,78,15564,78 | 15564
122,sous,none,prep,under,* juste sous ton nez -- right under your nose,juste sous ton nez,4,right under your nose,84,10840,84 | 10840
123,côté,none,nm,side,* il s'arrête à côté du fauteuil -- he stops beside the armchair,il s'arrête à côté du fauteuil,6,he stops beside the armchair,89,7002,89 | 7002
124,ensemble,none,"adv,nm",together,* on n'a jamais été si bien ensemble -- we've never gotten along so well together,on n'a jamais été si bien ensemble,7,we've never gotten along so well together,90,6055,90 | 6055
125,chose,none,"adj(f),nf",thing,* les choses pourraient bien changer à l'avenir -- things could change in the future,les choses pourraient bien changer à l'avenir,7,things could change in the future,75,18086-n,75 | 18086-n
126,enfant,Family,"nm,nf,adj(f)",child,* mes enfants sont en vie -- my children are alive,mes enfants sont en vie,5,my children are alive,85,9836,85 | 9836
127,cause,none,nf,cause,* ces hallucinations ont une cause -- these hallucinations have a cause,ces hallucinations ont une cause,5,these hallucinations have a cause,91,5353,91 | 5353
128,politique,none,nadj(f),politics; political,* elle se spécialise en sciences politiques -- her specialty is political science,elle se spécialise en sciences politiques,6,her specialty is political science,77,15972,77 | 15972
129,place,none,nf,"room, space, square, place",* je n'aimerais pas être à votre place -- I wouldn't want to be in your stead,je n'aimerais pas être à votre place,7,I wouldn't want to be in your stead,87,8092,87 | 8092
130,seulement,none,adv,only,"* on va seulement rester quelques jours, ma chérie -- we're only going to stay a few days, my dear","on va seulement rester quelques jours, ma chérie",8,"we're only going to stay a few days, my dear",88,7546,88 | 7546
131,moi,none,"nm,pro",me,* tu sors avec moi ce soir? -- are you going out with me tonight?,tu sors avec moi ce soir?,6,are you going out with me tonight?,63,27118-n,63 | 27118-n
132,vie,Time,nf,life,* je suis sûr qu'elle est en vie -- I'm sure she's alive,je suis sûr qu'elle est en vie,7,I'm sure she's alive,80,13285,80 | 13285
