number,french_lemma,thematic,pos,english,example,example_french,word count,example_english,range_count,frequency_raw,range_pipe_frequency
159,occuper,none,v,to occupy,* sa main droite était occupée à tenir la petite valise -- his right hand was busy holding the small suitcase,sa main droite était occupée à tenir la petite valise,10,his right hand was busy holding the small suitcase,92,3921,92 | 3921
160,gouvernement,none,nm,government,* le gouvernement a augmenté les impôts -- the government increased taxes,le gouvernement a augmenté les impôts,6,the government increased taxes,58,25743+s,58 | 25743+s
161,eux,none,pro,them,* c'est eux qui comptent -- they are the ones who matter,c'est eux qui comptent,4,they are the ones who matter,87,6631,87 | 6631
162,devenir,none,"nm,v",to become,* je suis très heureux que vous deveniez ma voisine -- I'm very happy you've become my neighbor,je suis très heureux que vous deveniez ma voisine,9,I'm very happy you've become my neighbor,82,8933,82 | 8933
163,partir,Verbs of movement,v,to leave,* il est parti à présent -- he is gone for the moment,il est parti à présent,5,he is gone for the moment,83,8299,83 | 8299
164,plan,none,"adj,nm",plan,* achetez donc un plan de la ville -- so buy a map of the city,achetez donc un plan de la ville,7,so buy a map of the city,87,5978,87 | 5978
165,décider,none,v,to decide,* j'ai décidé d'écrire un roman -- I decided to write a novel,j'ai décidé d'écrire un roman,5,I decided to write a novel,88,5533,88 | 5533
166,soit,none,"adv,conj",either...or,* il a pas le choix: soit il est une star soit il est rien -- he doesn't have a choice: either he's a star or he's nothing,il a pas le choix: soit il est une star soit il est rien,14,he doesn't have a choice: either he's a star or he's nothing,84,7623,84 | 7623
167,ici,none,adv,here,* moi je reste ici -- I'm going to stay here,moi je reste ici,4,I'm going to stay here,77,11898,77 | 11898
168,rien,none,"adv,nm,pro",nothing,"* moi, je n'en sais rien -- I don't know anything about it","moi, je n'en sais rien",5,I don't know anything about it,69,16549,69 | 16549
169,cours,none,"nf(pl),nm(pl)",course,* ils organisaient des petits cours et des séminaires -- they organized short courses and seminars,ils organisaient des petits cours et des séminaires,8,they organized short courses and seminars,82,8559,82 | 8559
170,affaire,none,nf,"business, matter",* occupe-toi de tes affaires -- mind your own business,occupe-toi de tes affaires,4,mind your own business,80,9899,80 | 9899
171,nom,none,nm,name,* quel est son nom? -- what is his name?,quel est son nom?,4,what is his name?,85,6836,85 | 6836
172,famille,Family,nf,family,* il provient sûrement d'une excellente famille -- he surely comes from an excellent family,il provient sûrement d'une excellente famille,6,he surely comes from an excellent family,87,5986,87 | 5986
173,effet,none,nm,effect,"* il s'agit, en effet, d'une question cruciale -- it is, indeed, a crucial question","il s'agit, en effet, d'une question cruciale",7,"it is, indeed, a crucial question",83,8142,83 | 8142
174,arriver,Verbs of movement,v,"to arrive, happen",* cela ne m'était pas arrivé depuis -- that hasn't happened to me since,cela ne m'était pas arrivé depuis,6,that hasn't happened to me since,79,10070,79 | 10070
175,possible,none,adj(f),possible,* nous avons donc deux scénarios possibles -- so we have two possible scenarios,nous avons donc deux scénarios possibles,6,so we have two possible scenarios,86,6178,86 | 6178
176,car,none,"conj,nm",because; bus,"* c'est dommage, car tu vas perdre un gros client -- it's too bad, because you're going to lose a major customer","c'est dommage, car tu vas perdre un gros client",9,"it's too bad, because you're going to lose a major customer",81,8864,81 | 8864
177,servir,none,v,to serve,* il m'a servi une coupe de champagne -- he served me a glass of champagne,il m'a servi une coupe de champagne,7,he served me a glass of champagne,89,4942,89 | 4942
178,mois,Time,nm(pl),month,* il a écrit ce livre en deux mois -- he wrote this book in two months,il a écrit ce livre en deux mois,8,he wrote this book in two months,82,8318,82 | 8318
179,jamais,none,adv,never,* je jure de ne plus jamais te contacter -- I swear I will never contact you again,je jure de ne plus jamais te contacter,8,I swear I will never contact you again,73,12997,73 | 12997
180,sembler,none,v,to seem,* le processus semble irréversible -- the process seems irreversible,le processus semble irréversible,4,the process seems irreversible,83,7471,83 | 7471
181,tant,none,adv,"so much, so many",* mais vous avez tant à enseigner -- but you have so much to teach,mais vous avez tant à enseigner,6,but you have so much to teach,84,7284,84 | 7284
182,vers,none,"nm(pl),prep",toward; verse,* un tram se dirige vers toi. monte dedans -- a tram is approaching you. get on it,un tram se dirige vers toi. monte dedans,8,a tram is approaching you. get on it,77,10203,77 | 10203
183,besoin,none,nm,need,* nous avons vraiment besoin d'aide -- we really need some help,nous avons vraiment besoin d'aide,5,we really need some help,82,7899,82 | 7899
184,revenir,none,v,to come back,* je sais qu'elle ne reviendra jamais -- I know she will never return,je sais qu'elle ne reviendra jamais,6,I know she will never return,85,6514,85 | 6514
185,dès,none,prep,"from, as soon",* on me fera signe dès que vous descendrez -- they'll wave to me as soon as you get down there,on me fera signe dès que vous descendrez,8,they'll wave to me as soon as you get down there,89,4537,89 | 4537
186,moyen,none,"adj,nm","means, way; medium",* il songeait aux moyens de profiter de sa victoire -- he was dreaming of a way to profit from his victory,il songeait aux moyens de profiter de sa victoire,9,he was dreaming of a way to profit from his victory,81,8104,81 | 8104
187,groupe,none,nm,group,* on va commencer avec le premier groupe -- we'll start with the first group,on va commencer avec le premier groupe,7,we'll start with the first group,76,10535,76 | 10535
188,problème,none,nm,problem,* nous avons osé soulever le problème -- we dared raise the problem,nous avons osé soulever le problème,6,we dared raise the problem,76,10795+s,76 | 10795+s
189,rapport,none,nm,"relationship, report",* je propose que le rapport du comité soit adopté -- I move that the committee's report be adopted,je propose que le rapport du comité soit adopté,9,I move that the committee's report be adopted,75,11146,75 | 11146
190,peut-être,none,adv,"perhaps, maybe",* j'ai peut-être une idée -- I might have an idea,j'ai peut-être une idée,4,I might have an idea,79,9067,79 | 9067
191,vue,none,nf,view,"* la vue est belle, de cette fenêtre -- the view from this window is pretty","la vue est belle, de cette fenêtre",7,the view from this window is pretty,87,5172,87 | 5172
192,maintenant,Adverbs – differences across registers,adv,now,* je ne peux pas partir maintenant -- I can't leave now,je ne peux pas partir maintenant,6,I can't leave now,78,9309+s,78 | 9309+s
193,pourquoi,Adverbs – differences across registers,"adv,conj,nmi",why,* pourquoi tu ne m'invites pas? -- why don't you invite me?,pourquoi tu ne m'invites pas?,5,why don't you invite me?,74,11128-n +s,74 | 11128-n +s
194,meilleur,none,nadj,"better, best",* j'apprends à être un meilleur mari -- I'm learning to be a better husband,j'apprends à être un meilleur mari,6,I'm learning to be a better husband,87,5030,87 | 5030
195,trop,none,adv,"too much, too many",* la vie est trop courte. essayez d'être heureuse -- life is too short. try to be happy,la vie est trop courte. essayez d'être heureuse,8,life is too short. try to be happy,78,9356,78 | 9356
196,laisser,none,v,to leave,* il va nous laisser tranquilles -- he'll leave us alone,il va nous laisser tranquilles,5,he'll leave us alone,77,9854,77 | 9854
197,ordre,none,nm,order,* ce sont des scientifiques de premier ordre -- they are first-rate scientists,ce sont des scientifiques de premier ordre,7,they are first-rate scientists,86,5610,86 | 5610
198,devant,none,"adv,nm,prep","in front, ahead",* une fumée montait devant nous sur l'horizon -- smoke billowed ahead of us on the horizon,une fumée montait devant nous sur l'horizon,7,smoke billowed ahead of us on the horizon,81,7783,81 | 7783
199,recevoir,none,v,to receive,* il n'a plus reçu de lettres de moi -- he didn't receive any more letters from me,il n'a plus reçu de lettres de moi,8,he didn't receive any more letters from me,82,7201,82 | 7201
200,répondre,Verbs of communication,v,to answer,* j'aimerais y répondre par une autre question -- I would like to respond to it with another question,j'aimerais y répondre par une autre question,7,I would like to respond to it with another question,83,6672,83 | 6672
201,vivre,none,"nm,v",to live,* aucune Marocaine ne vit seule dans le quartier -- no Moroccan woman lives alone in the neighborhood,aucune Marocaine ne vit seule dans le quartier,8,no Moroccan woman lives alone in the neighborhood,80,8023,80 | 8023
202,long,none,"adv,nadj","long, lengthy","* l'éducation sur le long terme paiera, j'en suis convaincu -- long-term education pays off, I'm convinced of that","l'éducation sur le long terme paiera, j'en suis convaincu",9,"long-term education pays off, I'm convinced of that",82,6947,82 | 6947
203,service,none,nm,service,* je faisais mon service militaire -- I was doing my military service,je faisais mon service militaire,5,I was doing my military service,75,10131,75 | 10131
204,ministre,Professions,"nm,nf",minister,* les ministres se sont réunis dans la nuit -- the ministers met during the night,les ministres se sont réunis dans la nuit,8,the ministers met during the night,57,20107-l,57 | 20107-l
205,face,none,nf,"front, side, face",* on s'est trouvés face à face -- we found ourselves face to face,on s'est trouvés face à face,6,we found ourselves face to face,85,5438,85 | 5438
206,chez,none,prep,"at, with",* elle ira peut être vivre définitivement chez lui -- she might go live with him permanently,elle ira peut être vivre définitivement chez lui,8,she might go live with him permanently,78,8646,78 | 8646
207,te,none,pro,"you, to you, from you",* je vais t'emmener chez un médecin -- I'm going to take you to a doctor,je vais t'emmener chez un médecin,6,I'm going to take you to a doctor,51,23312-n +s,51 | 23312-n +s
208,rappeler,none,v,"to recall, call back",* je ne me rappelle pas avoir été aussi heureux -- I don't remember having been that happy,je ne me rappelle pas avoir été aussi heureux,9,I don't remember having been that happy,86,4966,86 | 4966
209,présenter,none,v,to present,"* papa je te présente Claire -- daddy, this is Claire",papa je te présente Claire,5,"daddy, this is Claire",79,8243,79 | 8243
210,accepter,none,v,to accept,* j'accepte avec plaisir votre aimable invitation -- I accept with pleasure your kind invitation,j'accepte avec plaisir votre aimable invitation,6,I accept with pleasure your kind invitation,87,4705,87 | 4705
211,agir,none,v,to act,* c'est le moment d'agir -- now is the time to act,c'est le moment d'agir,4,now is the time to act,78,8418,78 | 8418
212,simple,Emotions,nadj(f),simple,* on préférerait une réponse simple -- we would prefer a simple answer,on préférerait une réponse simple,5,we would prefer a simple answer,90,3579,90 | 3579
213,plusieurs,none,"det,adj,pro",several,* il y a plusieurs formes d'humour -- there are several types of humor,il y a plusieurs formes d'humour,6,there are several types of humor,80,7714,80 | 7714
214,votre,none,det,your,* permettez-moi de vous parler dans votre langue -- allow me to speak to you in your language,permettez-moi de vous parler dans votre langue,7,allow me to speak to you in your language,64,15483-n +s,64 | 15483-n +s
215,important,Emotions,nadj,important,* c'est une question extrêmement importante -- it's an extremely important question,c'est une question extrêmement importante,5,it's an extremely important question,75,9564,75 | 9564
216,présent,Time,nadj,present,* il est trop tard pour dîner à présent -- it's too late to have supper now,il est trop tard pour dîner à présent,8,it's too late to have supper now,86,5151,86 | 5151
